name Energy(Hartrees)
2vwf_1 -6358.727662010092
2w0z_1 -7625.688479829596
2w0z_3 -4896.206733950033
2w0z_4 -6560.89634850666
2w10_1 -9745.293904284628
2w10_2 -5544.076411382559
2w5g_1 -8300.045573647565
2w5g_2 -5883.131859339311
2w5g_3 -7798.542170201238
2w5g_4 -8421.433866400563
2w5g_5 -5537.389849205178
2w5g_6 -5109.849399592376
2w5g_7 -9785.927832983849
2w85_1 -6883.615470677124
2w85_3 -3795.9087642113486
2w85_4 -7350.62832606555
3d6o_1 -7979.393935917637
3d6o_2 -8209.74295393637
3d6o_3 -6132.645311630235
3d6o_5 -6025.872772117314
3d6o_6 -5151.970375540815
3d6p_1 -7979.3538710581815
3d6p_2 -7414.7291610531
3d6p_4 -8818.94969108448
3d6p_5 -6025.86546453007
3d6p_7 -8271.983012725621
3d8z_1 -7412.87695362929
3d8z_3 -9896.153938847503
3d8z_4 -8228.293839805905
3d8z_5 -5957.693563833403
3d8z_6 -8655.101384738507
3fdt_1 -7784.058006905341
3fdt_3 -9334.325072069427
3g19_1 -7489.194375684411
3g19_3 -8999.41815473903
3g19_4 -4853.088019391097
3gbq_2 -8313.88631976441
3gbq_3 -8755.8403518877
3gv6_1 -5532.5746143470205
3gv6_2 -4944.627828069983
3gv6_3 -5666.4382311711415
3gv6_4 -7114.950668260398
3hk1_2 -5683.519066330862
3hk1_3 -7453.79714353618
3hk1_5 -8721.339536779598
3hk1_7 -9052.616729040466
3i90_1 -6212.299561597894
3i90_2 -4417.2762543205135
3i90_3 -9812.885014298488
3i91_1 -7553.524439312085
3i91_2 -4738.648889517526
3i91_3 -9522.362012149897
3ikd_1 -7299.068966592908
3ikd_2 -5252.62368546008
3ikd_3 -9600.026981598174
3ikd_5 -5112.395050985395
3ikd_6 -7837.386811637486
3ikg_1 -7826.285253673872
3ikg_4 -9813.691584839939
3kiv_2 -6925.642000274914
3kiv_5 -5934.637189473078
3qo2_1 -7336.805841525024
3qo2_2 -8860.4719261845
3qo2_3 -9566.900505808942
3qxt_1 -8533.961772919392
3qxt_2 -6360.856411117775
3qxt_4 -9566.69467649388
3qxt_5 -7402.242047499197
3qxt_6 -4812.465681126134
3qxt_7 -4748.8879442676025
3qxv_1 -6625.875925862841
3qxv_3 -6993.591060501251
3qxv_5 -5182.636240497903
3r93_1 -6350.539129675288
3r93_2 -3949.872959331259
3r93_3 -6164.259310443565
3rdv_1 -6257.653773556372
3rdv_2 -4665.141737391505
3rdv_3 -6358.309379575422
3s0b_1 -6550.005689934625
3s0b_3 -5901.827284952721
3s0b_4 -8992.494270541862
3s0b_5 -9058.132907998666
3s0b_7 -7284.052522424628
3s8l_1 -6841.588023371681
3s8l_2 -7702.001867714684
3s8l_3 -5073.440607143838
3s8l_4 -4033.362915706713
3s8l_5 -6726.093437778777
3s8l_6 -4296.753569259579
3s8l_7 -6127.337636020366
3s8n_1 -8031.386670187346
3s8n_2 -5192.465503759739
3s8n_4 -3880.7283636225434
3s8n_5 -8509.473371179705
3s8n_6 -8999.29351781142
3s8o_1 -7559.366024854204
3s8o_3 -4522.094405129449
3s8o_4 -6261.596608951868
3s8o_5 -5184.480160420149
3tzd_1 -6068.615699860372
3tzd_2 -3560.8872450182994
3tzd_3 -5814.967817651821
3tzd_4 -8460.001527112996
3wvm_1 -9345.195331787
3wvm_2 -7445.342242773433
3wvm_3 -5156.291382181574
3wvm_4 -7709.478017665734
3wvm_5 -9263.483298852792
3wvm_6 -5282.441500653052
3zyu_1 -9118.09956053086
3zyu_2 -6623.361106909391
3zyu_3 -5154.636190827592
3zyu_5 -10894.488524893035
4a4e_1 -8287.796698757491
4a4e_2 -5576.404239045784
4a4e_3 -4848.4441772844
4a4e_4 -6902.262625620932
4a4f_2 -5578.215695858453
4a4f_3 -4449.547756143995
4a4g_2 -5132.625466859314
4a4g_4 -8225.803546194064
4a4h_1 -8175.184020587639
4a4h_3 -4313.234522350559
4a4h_4 -6082.351565961547
4bd3_1 -7407.644292291583
4bd3_2 -5968.065577970096
4bd3_3 -4130.55151954708
4bd3_4 -6001.122433951297
4bxu_1 -7066.5905004035785
4bxu_2 -5851.384283401208
4bxu_3 -3581.4743636436006
4bxu_4 -9665.941363882266
4cc3_1 -5986.750859695263
4cc3_2 -4693.938423801623
4cc3_3 -5705.4149851389875
4cc3_4 -7877.741817374026
4g8v_3 -5618.900915844294
4g8v_4 -8228.294971258874
4g8v_5 -5886.407086642942
4g8v_6 -4984.222937157711
4ggz_1 -9375.202205055863
4ggz_2 -6064.98061933792
4ggz_3 -5807.9785598560065
4ggz_4 -7190.5087973420905
4ggz_5 -4364.661700386849
4ggz_6 -7855.47634955512
4hcz_2 -5002.655776653097
4hcz_3 -4408.864106214702
4hcz_4 -5845.505208495247
4hp0_2 -5520.1398057320675
4hp0_4 -10028.528215224927
4hp0_5 -9525.456447038923
4hp0_6 -9698.562412137722
4hxj_1 -9695.239245310779
4hxj_2 -5102.945241653448
4hxj_3 -8460.627266343836
4jkw_1 -6332.227380285394
4jkw_2 -7913.982981636363
4jkw_3 -5425.359695604222
4jkw_4 -4893.122554044695
4jkw_5 -6688.93877612358
4jkw_6 -6508.684839395094
4ln2_1 -6688.026038837131
4ln2_2 -10122.684731087438
4ln2_3 -4142.215461829058
4lnp_1 -6396.907779214755
4lnp_2 -5413.218913838029
4lnp_3 -4240.690747625632
4lnp_4 -8896.20808694665
4luz_1 -8644.284428450334
4luz_2 -8174.876314820402
4luz_3 -9156.267502272585
4luz_6 -7070.732336206835
4lzs_1 -9117.985304125006
4lzs_5 -10617.75692049487
4lzs_6 -5680.881605393772
4lzs_7 -6582.75390511325
4mr6_2 -4487.37032706185
4mr6_4 -7918.52152965551
4mr6_5 -9793.992922960439
4mr6_6 -5751.887208363387
4mr6_7 -6652.030845651081
4n7h_1 -6794.521335158337
4n7h_2 -6560.48624883044
4nnr_1 -9757.736320958149
4nnr_2 -9199.19127602541
4nnr_3 -9580.61797083214
4nnr_5 -6159.08542749052
4ogj_1 -6791.612813082051
4ogj_2 -4298.463978946862
4ogj_3 -6509.207664576426
4ogj_4 -4416.259163608027
4ogj_5 -6151.347509385177
4ogj_6 -6013.241025474844
4ogj_7 -10279.853711696443
4ogj_8 -8954.435860968362
4pl6_1 -8111.579141698497
4pl6_2 -5389.158226946198
4pl6_3 -3959.623659443412
4pl6_4 -7307.487745328166
4pli_1 -6843.671838358151
4pli_2 -6657.06109559845
4pli_3 -4545.659355347294
4pli_4 -6721.357443790945
4qf8_1 -6855.064420934563
4qf8_2 -11003.16664735283
4qf8_4 -9330.350669872198
4qf8_5 -4993.702856391928
4qgd_6 -5595.24965985019
4qgd_7 -6363.673290417679
4rsk_1 -10187.294355218219
4rsk_2 -7220.572207410687
4rsk_4 -8471.832164475532
4rsk_5 -5330.563232391033
4rsk_7 -5469.719556510915
4tkb_1 -9345.253430099227
4tkb_3 -7339.334698496716
4tkb_5 -5671.89764075552
4tkb_6 -4292.497554267737
4tkb_7 -4196.603766047233
4tkb_8 -7119.153924313867
4tkj_1 -9345.20759352868
4tkj_2 -5454.314667779989
4tkj_3 -7315.167899241246
4tkj_4 -7541.677645599866
4tkj_6 -5114.635181557895
4tkj_7 -7844.927908943606
4tun_1 -6130.23098868067
4tun_2 -6301.390150361755
4tun_3 -4181.128716970214
4tun_5 -9357.741795012724
4tun_6 -10793.214202260722
4tun_7 -10318.813661853348
4uye_1 -6889.57459395332
4uye_4 -4826.976149932077
4uye_5 -7578.376888508965
4uye_6 -4220.0190907017995
4uye_7 -6631.834684308241
4wci_3 -6906.5188405794315
4wn5_1 -7308.828466523733
4wn5_2 -3969.342389764934
4wn5_3 -9676.705663398865
4wn5_6 -8197.64230366396
4z88_1 -6991.702309516219
4z88_2 -4725.367835861687
4z88_3 -5881.712597225231
4z88_4 -9402.327251003422
4z89_1 -6991.500874880478
4z89_2 -4725.607506848341
4z89_3 -5982.471472795011
4z89_4 -9305.182268656983
5d24_1 -7697.037094956226
5d24_2 -4083.0933585895095
5d24_3 -8549.445675137584
5d24_4 -8101.941205700443
5d24_5 -4974.590950527876
5d24_6 -10564.73836495521
5d24_7 -9122.152548287804
5d25_1 -6471.050205478973
5d25_5 -5172.74466281652
5d25_6 -5842.64034043495
5d25_7 -5907.719771333876
5d25_8 -4381.468520970679
5d25_9 -5807.026624472366
5d3h_2 -4250.897747088947
5d3h_3 -8549.439364555601
5d3h_5 -4974.63056475132
5d3h_6 -10564.82744801318
5d3l_1 -7604.021478034696
5d3l_2 -4496.737761270421
5d3l_4 -7515.845891076988
5d3l_5 -5560.734802548939
5d3l_6 -10564.736323729754
5d3l_7 -9122.149393369462
5d45_1 -8440.693117094226
5d45_2 -5683.441415137391
5d45_4 -8065.745434123769
5d45_5 -8654.746317016577
5d45_6 -4883.152132376372
5d47_1 -8175.682764167334
5d47_2 -5530.4184287686785
5d47_3 -9082.74207107747
5d47_4 -8746.060659197916
5d47_6 -5469.294991067878
5d47_7 -7826.5640382576
5dbm_1 -8706.438167783246
5dbm_4 -5183.329399484455
5dbm_6 -8872.012569971246
5e6o_1 -8527.790502532636
5e6o_3 -5311.002020338055
5e6o_4 -8674.617825966703
5e6o_5 -6574.607017439068
5e6o_6 -5559.165891635245
5epk_1 -7979.417749475947
5epk_2 -5299.365729056488
5eq0_2 -3787.0641917173607
5eq1_2 -9125.241647422561
5eq1_3 -9249.694007882743
5eq1_4 -6135.223230018748
5eq1_5 -4544.505761718907
5eq1_6 -5149.095541226299
5eq1_7 -6409.413222879217
5f1h_1 -6628.639524830534
5f1h_3 -9893.514765256656
5f1h_4 -7260.593349459521
5f1h_5 -6301.652104328727
5f1h_6 -4573.784697861911
5f1h_7 -7944.26358497864
5f25_2 -4696.993701106146
5f25_6 -8663.358466204947
5f25_7 -8357.897793764023
5fe6_1 -7125.686942913795
5fe6_2 -5054.29388711384
5fe6_3 -4980.469039633093
5fe6_4 -7217.179904757447
5fe6_5 -7490.4541604385995
5fe6_6 -5371.918941329388
5fe6_7 -8936.8381614519
5fe7_3 -4773.767186180855
5fe7_4 -7220.6526157085655
5fe7_5 -7322.394724384647
5fe7_6 -5899.380716732137
5fe9_1 -8083.6054666196105
5fe9_2 -5209.863523717904
5fe9_3 -4394.383905439534
5fe9_5 -9157.156932772274
5fe9_6 -5676.440094697638
5fe9_7 -7325.200214771998
5h85_1 -7660.182560732859
5h85_2 -4882.618322946735
5h85_3 -5614.960550269662
5h85_4 -7490.4260123041195
5h85_5 -5390.204699732547
5h85_6 -9163.22063013578
5h85_7 -9629.191441929946
5hrx_3 -4516.344053300901
5hrx_6 -6341.589956550442
5hrx_7 -5689.33123406973
5i7x_2 -5356.486513279552
5i7x_6 -9255.691244895983
5i7y_1 -5645.410409331795
5i7y_2 -4558.4155992979395
5i7y_3 -7381.901478320394
5i80_1 -6714.845475390125
5i80_2 -4169.69435117228
5i80_3 -4250.533033402169
5i80_5 -8311.077599859094
5i80_6 -5764.594557921418
5i80_7 -8958.076875272502
5i80_8 -8326.592288945201
5i88_2 -4664.499316834714
5i88_6 -10564.766379731507
5ixf_1 -9164.113182839072
5ixf_2 -7213.220241927569
5ixf_3 -4586.879715351019
5ixf_4 -6047.834178058953
5j0d_1 -6771.0743326304855
5j0d_2 -8878.403506579813
5j0d_3 -6506.286713994038
5j0d_4 -4133.481202401081
5j0d_5 -4784.645673807579
5j0d_6 -6707.264555672391
5j0d_7 -4358.501071566525
5ji8_1 -7253.431824618161
5ji8_4 -4887.8655008865735
5ji8_5 -10076.497386259276
5ji8_6 -8405.726034160776
5l8a_2 -6027.76654388832
5l8a_3 -9796.728692606292
5lvq_1 -6598.518440472708
5lvq_2 -5472.649927999233
5lvq_3 -6608.859453298752
5lvq_5 -9269.50886586585
5mpz_2 -6475.66448255795
5mpz_3 -4886.530051309757
5mpz_4 -7129.313141151407
5mpz_5 -4881.881949867397
5mpz_6 -6969.554576353581
5mwh_1 -6990.460997598351
5mwh_2 -4387.772433488968
5mwh_3 -9007.61627994254
5mwh_5 -9035.468025675527
5mwh_6 -9114.281841705937
5n18_1 -9147.190103004468
5n18_2 -8963.369544778934
5n18_4 -7524.27799670303
5n8v_2 -9170.893629686198
5n8v_3 -6293.7637309163665
5nlk_1 -6716.143125296419
5nlk_2 -4159.983371742472
5nlk_4 -9020.623018232742
5nlk_5 -4881.810435094479
5nlk_6 -7290.169708762037
5nlk_8 -6607.750275817851
5ov8_3 -9630.70203581508
5ov8_4 -5548.192146351685
